text,label
"Заказ ждала 3 месяца, так и не пришел. Номер не отслеживается.",нет товара
товар не пришёл из за,нет товара
Очень сильно маломерит! Размер L на мой 44-46 не подошёл.,обувь
Качество ужас...,бытовая техника
"Отличный джемпер, все как на фото. Рукава на рост 172 см в самый раз. Длина хорошая. Советую.",одежда
"Бракованная, пришло с дырочкой",бытовая техника
"Очень милая и приятная на ощупь, пришла очень быстро",текстиль
"Пришел товар быстро .Качество не очень,торчат нитки во многих местах соединения( за это минус),впереди полочки у кофты   отделки нет,размер очень маленький,подойдет на 40-42 (укр),носить не смогу.с продавцом не общалась.",одежда
"Заказывала мама. Товаром очень довольна, все хорошо прошито, плотные, сейчас одевать самое то. Продавцу спасибо большое рекомендуем. До Домодедово дошло за 2 недели. XL подошёл на 48-50",одежда
размер s оказался большим,одежда
"Товар не до шёл до меня , потерялся",нет товара
Доставка 15 дней. Заказываю уже второй комплект. Очень нравится))),нет товара
"Блузка шла в течении двух месяцев!  Я открыла спор, деньги так и не вернули! Отвратительно!!!",одежда
На мой 44-46 М-ка впритык. В плечах и груди никакого запаса. Воротник прикольный. Довольно тонкая.,нет товара
размер не совпал(меньше),обувь
товар не пришел. продавец вернул деньги.,нет товара
"Слишком заметные швы,расположенные не с боку по фигуре.изнаночная и лицевая части ничем не отличаются.Разочарована.
+нитки,но это дело поправимое.
Запах отсутствует.",одежда
куртка хорошая. точно как на картинке и в описании. качество нормальное. на позднюю осень подойдет отлично. взяла для прогулок с сыном. покупкой довольна. трек отслеживался. шло 1 мес. 4 дня.,одежда
Заказала две шапки. Голубую и бежевую. Пришли хорошего качества но бежевая кривая на макушке.,текстиль
"Носочки очень крутые, рисунок хороший, две полоски снизу приносят мне эстетическое наслаждение)) заказала 17 октября, пришли уже 5 ноября в Москву",обувь
"платье супер. плотное,цвет как на фото,продавец на связи,товар отслеживался.",одежда
брат с дыркой,нет товара
"Товар так и не получила, продавец вернул деньги",нет товара
"доставка быстрая, качество материала и пошива хорошее, размер соответствует таблице",одежда
жене понравилось и размер подошел,одежда
"Кофточка дошла быстро, отслеживалась. Ткань более менее - на эту цены. Размер не подошел. Мала и в груди и в рукавах, хотя подбирала размер даже с запасом. Выглядит как на фото",одежда
ЦЕНА СООТВЕТСТВУЕТ ТОВАРУ.РЕКОМЕНДУЮ,бытовая техника
"Состав 90% Полиамид 10% Эластан, даже ластовица, швы прошиты небольшиии шовчиками и проклеены клеем.",текстиль
Отличная пижамка за эти деньги! На 90-67-95 подошел размер М! Пришло в спб за 8 дней.,одежда
РЕКОМЕНДУЮ.,посуда
Заказ не пришел. Деньги не вернули,нет товара
Качество матерьяла - фууу,текстиль
отличные носочки! на 40 подошли,обувь
хороший выбор,нет товара
"по длинне очень короткое, быстрее тупика чем платье...",одежда
"Майку не получила, деньги вернули.",нет товара
"В целом не плохо! Маломерит, мой  размер L, заказывала XL-прям впритык, хотелось бы свободнее! Из недочетов-был грязный рукаф кофты, но отстирался хорошо! 1,5 недели лежал заказ на почте, смс не приходила",одежда
Все хорошо,бытовая техника
"Заказ не получила, но деньги вернули",нет товара
"Комбез как мешок если честно, очень большой+ ещё и ткань тянется",товары для детей
"он очень короткий даже с моим ростом,цвет конечно супер но это единственный плюс,не стоит этих денег вообще",нет товара
"очень хорошая пижама,заказ доставлен максимально быстро.спасибо",одежда
i love this jeans,одежда
ткань как дешёвый трикотаж в смешных ценах)),текстиль
"Футболка сделана из самого дерьмового хлопка к которому все липнет. При долгой носке скорее всего скатается. Сама по себе длинная, рукава почти до локтя. За такую цену довольна, но ткань оставляет желать лучшего :(",одежда
"куртка понравилась, по размеру подошла 93-75-110. цвет как на картинке, можно сказать - персиковый. Спасибо продавцу",одежда
"Качество хорошее, но размерная сетка продовца совершенно не соответствует реальности",одежда
"Не совпал размер, хотя брала заранее измеряв себя, проверяла в таблице размеров",нет товара
"не подошёл по размеру, верх сел идеально, а низ узкий и короткий, больше ни чего из одежды заказывать не буду",одежда
"61 день ждал товар, везли наверно на черепахах.Больше заказывать тут не буду.",нет товара
конченый продавец жду товар с 13 июля досих пор нет окрыл спор на все продавец не чего не делает,нет товара
"Очень плохое качество товара, плохо прошито,  местами отверстия. Еще и  размер другой прислали.",нет товара
"чашечки плоские, сплющили грудь  не смотря на то что мой размер 75 с, 75D оказался мал! грудь вываливается, нагибаться тоже не удобно сразу грудь наружу!",посуда
"заказ К сожалению оценить не могу так как шорты мне не пришли, продавец вернул деньги",нет товара
"ткань непонятная,я бы сказала противная если ее натянуть то краска расползается,на свой размер L заказала 3XL отказался мал. очень не довольна. единственный +,это быстрая доставка",текстиль
Полностью соответствует описанию,бытовая техника
Великовата(((,обувь
"куртка фуфло, только на помойку, открыла спор, деньги не вернули",одежда
размер очень маленький не соответствует описанию,одежда
"незнаю почему так получилось,но я хотела футболку со слонами",одежда
"Заказ не пришёл, и деньги тоже ни кто не вернул!!!",нет товара
"1.цвет не соответствует описанию!али одобрил возврат части средств,прошёл месяц.Денег нет!",нет товара
"Качество хорошие, но размер L оказался маловат.",нет товара
