text_clean,label_final
"к сожалению куртка пришла маленького размер, на мой 44 l не подошёл, очень расстроена!",одежда
размер совсем не такой очень мал в плечах написал продавцу ответил что сожалеет и всё не советую ни продовца ни тавар не берите.,одежда
"цвет и размер соответствует описанию. ог 92, рост 164 - размер l, подошел идеально. оплатила 11.11.2017 -01.12.2017 получила на почте. брала за 630 рублей. магазин рекомендую как надежный.",одежда
"платье хорошее,но длина подола не соответствует ",одежда
"бракованная, пришло с дырочкой",одежда
"я не длинная. платье очень короткое, еле прикрывает  то самое место . носить не буду.",одежда
"начиталась отзывов и поверила. а зря. на свои объемы - объем груди 89, объем талии 65, выбрала размер l, он мне велик. лучше бы взяла м.",одежда
"хорошая блузка,села как на картинке, брала xl на объём груди 90, рост 164,  вес 57 если кому то нужно  продавца рекомендую",одежда
"блузка шла меньше месяца в челябинскую область. ткань тонкая, просвечивает. так же обнаружила что один рукав криво пришит. но чего было ожидать за 280 рублей.",одежда
талия очень завышена и широкая. надо будет ушить и в груди побокам торчит . ткань тянется. в целом пойдет,одежда
"пижама шла в приморье 65 дней, большая по размеру , качество нормальное",одежда
кофточка не плохая долго шла только.ну рукава коротковаты. не соответствуют этому размеру.должны бы быть подлиннее,одежда
"спасибо. кофта отличная. приятная к телу, внутри типа нежного флиса. пришла быстро. на свой 42-44 , взяла l, так она свободная, не в обтяжку, но плечам хорошо  плечи 36 37 . очень довольна. рекомендую.",одежда
"рубашка не аккуратная, разлезлись швы после первой носки, запах не выветрился после 3 стирок",одежда
"хорошая рубашка, мой рост 168, вес 64, брала xl, в самый раз. качество неплохое, к телу приятная, цвет яркий. за такую цену отлично, ожидала худшего",одежда
"сшит хорошо, но материал - голимая синтетика",одежда
"по длинне очень короткое, быстрее тупика чем платье...",одежда
"ну так себе, на самом деле он и стоит своих денег, носить не буду",одежда
"на 42-44 можно смело заказывать xs, качество хорошее",украшения и аксессуары
"сшита очень плохо. рукава короткие, плечи тоже. везде торчат нитки",одежда
"очень хорошие штанишки, трикотаж прямо бархатный, спасибо",одежда
"штаны хорошие для тех кто любит на резинке  я не люблю  беру маме. коротки для 170,норм для 165",одежда
"excellent,thank you",одежда
товар не пришло . деньги вернулись.,нет товара
"на фото выглядят как брючки, по факту и цвет и качество не похожи, сидит не очень, сползают - собираются,",одежда
"товар пришел быстро. качество нормальное,материал только тоненький у шорт. а так все супер. спасибо",одежда
"заказ пришел, но на картинке белый цвет а на самом деле серая кофта. размер тоже не подошел, хотя я такие вещи покупаю по тому размеру который заказывала. на вид по картинке длинее чем кажется, на самом деле короткая.",одежда
"в пермь пришел за 9 дней. но куртка вся кривая косая, плечи узкие, в бедрах огромная. носить вряд ли буду",одежда
"сорочка замечательная. очень аккуратно сшита, никаких перекосов в крое. брала самый большой размер для использования в качестве чехла под длинное шифоновое платье. очень довольна заказом. рекомендую к покупке.",одежда
товар отправили не на тот адрес. но деньги вернули,товары для детей
"отличаются от такой же модели синего цвета, при том, что заказывала одновременно. все липнет, на ощупь как бумажные какие-то, тянутся сложнее.",нет товара
"не скажу, что блузка хороша, ткань непонятная, подкладка - прозрачная синтетика, кружево жесткое, отделка рукавов оставляет желать лучшего. на 96-78-102 тесновато в груди и в рукавах.",одежда
зачем заказала? ужасно. все в затяжках,украшения и аксессуары
"доставка очень медленная, размерная сетка не соответсвует, на размер 50-52 5xl малы, на рост 170 длина до щиколотки",товары для детей
"футболка нормальная, размер подошел.",одежда
"все нормально, хорошая ткань, рекомендую",одежда
"на фото смотрится гораздо лучше, чем на самом деле. ткань очень тонкая, вся просвечивается.",одежда
"ужасная кофта. не рекомендую. маленькая, висит как тряпка.",одежда
"обманули. товар ждала с конца марта!!!!!! кошмар. товар так и не пришёл, продавец просил подождать, я открыла спор. продавец отказался отдавать деньги. я открыла повторный спор, деньги мне так и не вернули!!!!!!!",нет товара
"все трусики разного размера, получила всю размерную сетку. шли 2 месяца. разочарование. подошли только 1 из 5.",электроника
"хорошая куртка. спасибо продавцу за подарочек! на российский 46 размер xl сел идеально, при весе 57кг. буду заказывать ещё.",одежда
на ветрозащитной планке нет кнопок отсутствуют пуговицы чтобы пристегивать подклад. без теплого подклада это кусочек ткани даже нет синтепона. три звезды только за то что заказ доехал,нет товара
"товар так и не пришел, прождал больше двух месяцев",одежда
"свой заказ так и не получила!!! а этот недобросовестный продавец взял и закрыл его!!! и теперь ни денег,ни заказа!!!",бытовая техника
вообще не соответствует размеру. очень сильно маленькие как на ребенка,одежда
заказ ждала 2 месяца он не разу отслеживается.но он не пришел.продавец вернул деньги,нет товара
"горловина блузки кривая, рукав подшит криво,",одежда
очень много ниток,одежда
на рукавах резинка не тянется. ворот короткий. карманы разного размера и маленькие. очень тонкая. мне она было слишком свободна.,одежда
"очень ждала юбку,долго не отправляли,но это все мелочи,получила в течение месяца,с продавцом не общалась.качество говно полное,сшито из какой-то прозрачной тюли,носить такое нельзя.я очень разочарована    ",одежда
"отличное качество, очень мягкий",одежда
рекомендую.,одежда
заказала 8.08. пришла 06.09. на мои ог 90 от 75 об 100 l в самый раз. рукав на тонкую руку. перешивала пуговицы. блузкой очень довольна.,электроника
"платье получила...не то что ожидала ткань тоненькая,просвечивает,замок нашит прям так сверху....то бишь взяли обычную молию и прифигачили так, в общем не оденешь    ",одежда
"это не зимняя парка, да и мех линяет",одежда
очень коротко,одежда
"соответствует описанию,доставка 2 недели во владимирскую область. спасибо.",товары для детей
"доставка не более 3 недель до москвы,топ не плохой,единственное короткий  но под брюки с завышенной талией или юбку,будет не плохо!",одежда
"все бы ни чего, и качество ткани и швы, но на брюках при распаковке обнаружилось пятно вывески которое к сожалению ни чем не удалось  носить не смогу ",одежда
ужасно маленький размер... и качество ..если за такие деньги с качеством я соглашусь..то размер....отвратительно!!!,нет товара
"блузка низкого качества. материал синтетика и в ней очень жарко. но самое главное, что на спине топорщится в районе талии. даже если заправляешь под юбку или брюки, то все равно остаётся пузырь    носить, к сожалению, не буду",одежда
товар хорошего качества. пришёл за 4 недели.,одежда
"я очень не довольна товар пришел не качественный, на фото видно! продовец на протяжениии 30 дней обещал вернуть деньги, тянул до последнего, но так и ни чего и не зделал! магазин не советую!!!!!!",нет товара
"куртка классная ! как раз на осень ! цвет приятный ! нитки не торчат , быстрая доставка . спасибо продавцу за подарок",одежда
"товар пришёл через 3 недели,что очень порадовало, трек отслеживался. соответствует описанию, приятный на ощупь, тёплый, размер м соответствует 42-44, капюшон не глубокий-некритично. спасибо продавцу! рекомендую!",товары для детей
"не получила ,деньги вернул алиекспресс ,продавец отказался ворачивать",нет товара
"товар отправили только после открытия спора. до этого все было хорошо заказ делала дважды. отправление и получение было быстро. я не знаю, что случилось.",бытовая техника
"изделие не держится на теле, из за малого слоя силиконовой основы.",одежда
"спасибо, платье по размеру подошло 46 l, ткань приятна к телу",одежда
"слишком заметные швы,расположенные не с боку по фигуре.изнаночная и лицевая части ничем не отличаются.разочарована.  нитки,но это дело поправимое. запах отсутствует.",одежда
"чудесно! просто все замечательно! доставка быстрая, продавец приятный, комбез великолепный. ещё и подарочек! сказка  ",одежда
"спасибо продавцу, посылка пришла вовремя , кофта по размеру , надписи сделаны хорошо , рада что заказала именно здесь!!!",одежда
"так и не дошли, инфы по отслеживанию не было. жду возврата денег",электроника
"отличные, приятные к телу штанишки. рост 170, об 100, от 74 - по размеру.",одежда
"розовые мерзкого цвета, не берите. чёрные норм.",одежда
"материал смотрится дёшево, плохо села в плечах - торчит по краям",одежда
покупайте обязательно. всем советую.это находка.все спрашивают где я купила,одежда
"штаны очень короткие на мой рост 170 см, как бриджи",одежда
"материал грубоват ,а так ничего за эти деньги . доставили быстро",электроника
продавец обманывает и не отправляет заказ!!!!,украшения и аксессуары
"платье синтетика, электризуется, и неприятно к телу, все обтягивает",одежда
"спасибо! куртка по размеру, качество хорошее.",одежда
платье отличное в размер мне понравилось,одежда
"описание товара не совсем точное, бельё просто огромное и смотрится не очень красиво.",одежда
"сидит прекрасно,пришёл быстро и без запаха",одежда
товар не пришел деньги её вернули ужасный продавец не советую,товары для детей
спасибо за быструю доставку!,одежда
все здорово,одежда
"мягкий, тёплый, на рост 170-2 и вес  53 село идеально. запах как у новой вещи, не противный.",одежда
ужасно пошито. очень жаль.,одежда
"тонкая синтетика, но за такие деньги норм, ребенок доволен",нет товара
товар хорошего качества. за долгую доставку только 3 звезды,одежда
короткая. на юбке есть пятно черное.,одежда
"пришла посылка, но у меня она так и не появилась, тупо на почте отдали кому то другому. короче не могу сказать какой товар. в жопу почту россии. продавцу спасибо, общительный, пытался помочь.",одежда
"нет вытачек на груди. выглядит, как мешок. ткань норм, тонкая синтетика.",одежда
"приятная, нежная ткань. хороший комплект. только цвет не такой сочный, как на картинке.",одежда
"куртка качественная,на прохладную осень. размер,который посоветовал продавец по моим параметрам, оказался велик. в эту куртку две меня влезет, поэтому 1. печально  ",одежда
i love this jeans,одежда
"очень красивая качественная майка, спинка отделана очень качественно. смотрится просто супер. доставка домой курьером",одежда
маловата в груди   и манжеты куцые какие то,одежда
"посылка пришла быстро,размер подошел,качество отличное все супер",одежда
маломерка жуткая  максимум на 46 размер. я со своим 50 не влезла. рукава очень узкие  талия не тянется. качество ткани приличное. отдам подружке... хорошо взяла за 360 руб. не жалко.,одежда
товар не пишел. никакого общенияс продавцом не рекомедую продавца!!!!,одежда
товар супер продавца рекомендую доставка 2 недели до екатеринбурга качество хорошее,товары для детей
кофточка оказалось очень маленькой. пришлась в пору моей 5-ти летней племяннице.,одежда
"мне понравилась эта блуза из за красивой горловины на фото, а на самом деле она совсем другая, просто обрезано кружево и рукав такой же. я разочарованная",одежда
хорошая майка! все как на картинке и качество хорошее !,одежда
"очень довольна товар пришёл за дней 10 , спасибо продавцу  ",одежда
"товар ждал 4-месяца  продавец продлял защиту   , товар не пришёл, деньги вернули.",товары для детей
супер пупер,одежда
очень мала. размер хххl не соответствует. подошла на 44-46 размер.,одежда
ужасссноооо. я не довольна.,одежда
"спасибо, очень довольна товаром. рейтинг мягкие, не стягивают ноги, приятны к телу. на 46 размер заказала хl, сели отлично.",электроника
"пришла майка, только в другой город",одежда
сшито очень хорошо но цвет совсем не такакой как на картинке.,одежда
люди не покупайте у этого продавца ничего он посылку мне так и не отправил а заказала я ее 3 месяца назад вот и деньги не вернул урод знайте этого продавца и ничего у него не заказывайте,нет товара
"размер соответствует российскому 40-42, но хорошо тянется. материал мягкий, приятный. но на моей юбочке были дефекты-непрошитая строчка и дырочка. правда продавец тут же вернул деньги.",нет товара
"ждала заказ 3 месяца,товар так и не пришел. доставка была платная,но трек не отслеживался вообще. деньги вернули полностью за 2 дня",нет товара
"заказ не пришел, деньги так и не вернули!!!!!",украшения и аксессуары
"отличная жилетка. брала размер м на параметры 88-67-92. внизу широковата, не приталеная. на карманах нет молний, качество пошива отличное. доставка три недели, трек отслеживался. наполнение пухом нормальное.",одежда
"отличные ленинск. яркие, мягкие. на мой 42 р-р и рост 165 см сели отлично, есть запас в длине",одежда
"кофта на 3 размера меньше, по пуп, 100  синтетика! 2 звезды, только за то, что вернули часть денег.",одежда
"качество ткани отвратительное, как стекло. воротник форму не держит вообще. не стоит даже этих денег.",одежда
"ткань тонкая. сложно одевать, не расстёгивается сбоку, а через голову сложно влезть. по длине мал.",одежда
товар не получила. деньги не получила. полное кидалово.,товары для детей
"голая синтетика, как на картинке не сидит, можно и 2 поставить, но сама знала, что за такую цену ничего хорошего не будет, поэтому ставлю ради продавца 5",одежда
платье пришло. хороший товар. продавцу 5 звёзд.,одежда
товар так и не получен. но деньги продавец вернул очень быстро.,нет товара
"доставка быстрая до новосибирска ,ветровка отличная ,сшита хорошо по размеру подошла только рукава коротковаты мне ,придётся задирать как три четверти ,а так все отлично !спасибо !",одежда
"очень тугие резинки на чулках, пришлось стягивать их намного ниже, чем обычно должны носится , натянула чуть выше колен, чтобы не давило! мой размер м, чулки наверное рассчитаны на s или даже на xs",одежда
"инопланетянин плохой,шло месяц,не подошёл по размеру,взяла размер s,оказались большие рукава,и она делает вас квадратным,не советую,рисунок после стирки сотрется",одежда
"м на рост 157, объем рук 28 сидит хорошо правда руки чуть сковывает, длинный. сам по себе мягкий и красивый",одежда
прошло два месяца товара нет. верните деньги,нет товара
"размер м на бёдра 95 очень короткий, как трусы",одежда
"на российский 46, взяла l и оказалась широковата.ну на дачу пойдёт.запаха нет. цвет рисунок всё ок. тонкий, но тёплый. немного торчат нитки, но не страшно",одежда
"товар не соответствует описанию, ни по качеству, ни по размеру, ни по цвету",одежда
"пошла вся в пятнах,так ещё и по шву разрыв",одежда
"товар не соответствует тому,что на картинке",одежда
it doesn t look like on photo at all. size is too small,одежда
"размер не соответствует, s как m, фасон странный, сама кофта широкая, спереди короткая, рукава длинные, носить не буду.",одежда
"товар не получен, но деньги возвращены. продавец всегда на связи.",товары для детей
"подходят всем, и детям и взрослым   ",одежда
"отличный джемпер, все как на фото. рукава на рост 172 см в самый раз. длина хорошая. советую.",одежда
"доставка очень быстрая,12 дней. на мой 52 размер, заказывала 4xl. рукава короткие попу не закрывает, очень тонкая. карманы маленькие и капюшон тоже. короче не соответствует картинке. не стоит этих денег.",бытовая техника
"продавец прислал товар с дефектами, денег не вернул - должна обратно отправить",нет товара
"супер достаточно теплая, на позднюю осень пойдет в жизни выглядит лучше, чем на фото, и сидит отлично",одежда
"продавец долго отправлял заказ. футболка понравилась. идёт в размер. ношу s, взяла м. свободно в талии",одежда
"хороший топ, подойдёт на русский 42-44, длина 52 см",одежда
не соответствует описанию  ,одежда
шапку покупала ребёнку из за пампона  он чёрный так вот он совсем не держится на шапке!!!продавцу написала об этом но он игнорит!,одежда
"платье, на картинке лучше, чем на самом деле. пошито разными нитками, которые торчат.кружево пришито криво. у кого узкая талия, надо ушивать.",одежда
"товара нет пол года ,деньги не возвращают,может почта россии тупит,но они сказали не знают где товар",нет товара
заказать надо было на размер меньше,украшения и аксессуары
"замечательно, точно как в описании, очень симпатичный комплект",одежда
"отличное качество, никакого запаха , ткань приятная к телу, по ощущениям как вискоза. заказом очень довольна, трек отслеживался.",электроника
"отличная рубашка! заказывала маме - село хорошо. материал приятный, фасон интересный. цвет как в объявлении  на фото смотрится более кирпичным из-за желтого освещения .",одежда
"заказала 6 цветов, забрали денег за 6 трусов 252рублей.а прибыли 1ш трусов.",нет товара
"заказ не получила, но деньги вернули",украшения и аксессуары
"леггинсы классные, хорошо тянутся. брала два цвета. очень довольна. закажу еще в подарок. спасибо продавцу!",электроника
"шапка маленькая, на ребенка",одежда
"чашечки плоские, сплющили грудь не смотря на то что мой размер 75 с, 75d оказался мал! грудь вываливается, нагибаться тоже не удобно сразу грудь наружу!",одежда
доставленные лосины не соответствуют заказанным. невнимательность сотрудников ведёт к разочарованию покупателей!,украшения и аксессуары
"заказала 9.08, 23.08 уже пришло в крым. описанию соответствует. очень милые. синтетика, но приятная и не пахнет  ",электроника
"нормально, но на грудь 85д узковато",одежда
"носочки очень крутые, рисунок хороший, две полоски снизу приносят мне эстетическое наслаждение   заказала 17 октября, пришли уже 5 ноября в москву",товары для детей
"доставка до иркутской области чуть больше месяца. принёс курьер. качество просто супер. размер на мой 52-54 подошёл 5xl очень хорошо. запаха нет , хлопок ,швы ровные, нитки не торчат. костюм просто супер. длина брюк 7 8",товары для детей
"брала мама 52 размер, отлично подошёл , претензии не имею .. в носке приятен и красив    чёрный цвет хорошо смотрится    спасибо продавцу",одежда
заказала с пришла очень большая,украшения и аксессуары
доставка быстрая. отслеживаются,бытовая техника
"прекрасный костюм.мягкий,уютный и очень тёплый!!на 88-67-90 и рост 170 подошёл прекрасно.стоит своих денег.рекомендую.спасибо продавцу за качественный товар и быструю доставку!!",одежда
"бюстгалтер с нитками, трусики хорошие. доставка странная",украшения и аксессуары
"не указан материал, сделано очень грубо, швы плохие, мне попался с дыркой на рукаве.",одежда
"приятные к телу , мягкие , пришли за месяц в новосибирскую область .",одежда
ткань неизвестная....очень тонкая....куда его носить даже незнаю....,одежда
"качество хорошее. но цвет не тот как на фото. заказывала ментол, по факту просто темно зеленый.",нет товара
топик отличный. принт супер качества и материал приятный на ощупь. все как на картинке и в описании. покупкой довольны.,одежда
"заказ не пришёл, и деньги тоже ни кто не вернул!!!",украшения и аксессуары
"заказ не пришла.открыла спор, деньги вернули",украшения и аксессуары
жесть...нитки весят чуть ли не до колен-единственный минус,одежда
качество отличное. всем советую продавца.,одежда
футболка не соответствует картинке   что меня очень огорчило.. а так не плохая футболка,одежда
для меня по длине это не платье к сожалению  ношу как пиджак ,одежда
"очень милая юбочка,но блин на мой рост 170  она короткая,но на лето сойдет ,спасибо продавцу",одежда
"шикарное платье!!!!!!! это моя лучшая покупка! кто сомневается, берите - не пожалеете! я взяла м, на параметры  88-70-92. село идеально. доставка курьером, через месяц!",одежда
прибыло быстро. качество отличное. на 160 очень хорошо. продавцы молодцы  !,одежда
отличные носочки. все полностью соответствует фото. продавец хорошо упаковал - каждая пара на плотной картонке. очень советую!,одежда
платье не пришло и деньги не вернули!!!,одежда
"заказ пришёл очень быстро. спасибо продавцу. блузка смотрится хорошо, но вот на одном рукаве манжет не прострочен,дырка по шву, это минус за качество, заказала s размер, как бы не было мало. примерка состоится, отзыв дополню.",одежда
"немного не подошел по размеру,а так качество нормальное",одежда
очень классные!,одежда
"по доставке все хорошо, размер подошел,на изделии отсутствует состав ткани это очень плохо, на ощуп много синтетики",одежда
"заказ так и не получила, алиэкспресс вернул деньги",нет товара
"отличная блузка, за 320 руб, доставка примерно месяц, трек отслеживается, на рост 170, вес 56 брала м, как влитая. спасибо продавцу!",одежда
лосины супер всегда у него буду заказывать рисунок четкий,электроника
"очень плохое качество товара, плохо прошито, местами отверстия. еще и размер другой прислали.",одежда
"по трек номеру посылка доставленна, но куда и как никто не в курсе. денег не вернуть. товара нет.",товары для детей
"очень не довольна, это не платье а просто ужас!!! не соответствует картинке.",одежда
"ужасный костюм,который ужасно маломерит,да и просвечивает",одежда
"супер качество , трек отслеживается ! рекомендую",одежда
"пришла куртка быстро, немного есть запах, а так в принципе довольна",одежда
не аккуратно прошито,одежда
"товар где то потерялся, открыл спор - вернули деньги",товары для детей
"очень!!! долгая отправка и долгая доставка!!! 2 месяца!!! сам свитер красивого красного цвета, фасон пока непривычный, пахнет пылью, конечно, столько идти, запылился по дороге",одежда
на 50 размер в обтягон. а так нормально. с продавом не общалсь.,одежда
ношу размер s она для меня огромная.вышевка проделана плохо.,одежда
очень тонкая шапка. думала будет потолще. но красивая. сидит на голове комфортно. и мне идёт. в общем нормально. но шла очень долго.,одежда
"принты, причем только с верхней стороны. первые 3-4 раза лучше стирать в дали от другой одежды.",одежда
"трусики отличные,мягкие приятные к телу,размер соответствует таблице",одежда
сильный запах. вид ношеный. рукова короткие.,одежда
"цвет пришел не тот который заказывала, много торчащих ниток, на размер 40-42 xs  большой, сидит как мешок, общение с провод ужасно",нет товара
"все как в описании,доставка быстрая, хороший материал.",украшения и аксессуары
"ужасное качество ткани, штаны короткие , широкие внизу, картина не соответствует совершенно , не покупайте такой ужас, ещё и воняет ужасно, даже дома носить не возможно, выкинула   ",одежда
синтетика галимая. своих денег не стоит.,одежда
быстро и в хорошем качестве,одежда
на рост 176 очень корткие. как капри. очень плохо,одежда
доставка 15 дней. заказываю уже второй комплект. очень нравится   ,товары для детей
пришли с дырочкой !,одежда
плохой шов!!!!,одежда
заказ не соответствует описанию,украшения и аксессуары
"!!!ужасный товар!!! xxxl??!! точно нет!! маленькие, короткие, ткань просто жуть! с неприятным химическим запахом и белесыми пятнышками посреди тёмно-синего в местах, где нет рисунка!!  не рекомендую!",одежда
"приятный материал, на 46 размер брала xl - как раз. рисунок мельче, чем на фото.",одежда
"заказ пришёл быстро, продавец на все вопросы ответил быстро. был небольшой брак, но продавец вернул деньги. ставлю пять звёзд.",нет товара
"по качаству хорошая, но оказалась чутка короткой.",одежда
"получила заказ, размер не подошел, плюс пятно возле ворота  ожидала от заказа большего ",украшения и аксессуары
"маленький размер, очень посредственное качество, неприятный запах.",одежда
брат с дыркой,одежда
"ожидала другого,с цветом все впорядке но вот сам фасон вообще не сидит и не подчеркивает фигуру ...как в мешке,ленты тоже кое как вставлены все рваные ....рукава короткие хотя рост у меня 164",одежда
"у свитера очень неприятный запах был. ткань совсем лёгкая. я не в восторге, может после стирки и лёгкой глажки будет выглядеть приличнее",одежда
"пришел товар быстро, но абсолютно не тот размер чашки огромные заказала 80 а",товары для детей
"долго шел, нитки торчат",одежда
too long. and a bit too tight in the chest.,одежда
"очень классные джинсы , довольно плотные и приятные к телу , посылка пришла менее чем за 3 недели , носить буду с удовольствием ! спасибо!",одежда
"пришли быстро, правда брюки синтетические, хотела в них по жому ходить, но похоже буду ходить в них на тренеровку",одежда
"все круто. сшито качественно, ничего не торчит и ткань очень приятная",одежда
"нормальная рубашка. своих денег наверно не стоит, но ничего ужасного в ней нет. нитки торчат, но сшито ровно. не пахнет почти",одежда
очень хорошая ветровка. качество просто супер. соответственно описанию.,одежда
"кофточки очень хорошие, заказывала розовую и черную. розовая чуть меньше и больше в обтяг, черная села идеально. а так на 42-44 обе хорошо подошли.",одежда
качество матерьяла - фууу,одежда
"на фото выглядит лучше, чем есть на самом деле, на рост 170 коротковата",одежда
теплая куртка 3xl очень маленький размер.такой же 2хl намного больше.как детский размер.куртка очень маленькая.не подошла.жалко.очень красивый цвет.,одежда
"заказ так и не пришел,спор одобрен,но деньги так и не вернули.",нет товара
товар не отслеживался и не пришел очень обидно !!!   ,одежда
"классная штука,пришла быстро ,прям в почтовый ящик",одежда
"цвет не ровный, окрашено кусками. в области груди выдран клочок. внизу тесемки не в некоторых местах оторваны на половину. не похоже на кожу. очень короткая",одежда
"жутко лезут волосы,все вокруг в этих волосах от кофты",одежда
хорошее качественное пальто. размерная сетка верная. быстрая отправка и доставка. я очень довольна. спасибо большое!,одежда
"товар не пришёл, деньги вернули .",товары для детей
"качество самой ткани хорошее, но уже после второй носки полез рукав и просто начал расходиться по шву , шов вообще никакой ,слабый, разлетелся разом, в самый неподходящий момент",одежда
